"User Story Number","User Story Description","Feature Number","Feature Description"
"US-1","As a HUD admin user, I want to view the current SMART software version, so that I can confirm I am using the correct release.","F-1","Display version number in a persistent footer after login"
"US-1","As a HUD admin user, I want to view the current SMART software version, so that I can confirm I am using the correct release.","F-2","Retrieve version value dynamically from build metadata"
"US-1","As a HUD admin user, I want to view the current SMART software version, so that I can confirm I am using the correct release.","F-3","Show build date beside version number"
"US-1","As a HUD admin user, I want to view the current SMART software version, so that I can confirm I am using the correct release.","F-4","Hide version display for unauthenticated sessions"
"US-2","As a HUD admin user, I want to review SMART system requirements, so that I can verify my workstation meets them.","F-1","Provide link to requirements page from login screen"
"US-2","As a HUD admin user, I want to review SMART system requirements, so that I can verify my workstation meets them.","F-2","List supported OS, browser and minimum versions"
"US-2","As a HUD admin user, I want to review SMART system requirements, so that I can verify my workstation meets them.","F-3","List required network ports and security settings"
"US-2","As a HUD admin user, I want to review SMART system requirements, so that I can verify my workstation meets them.","F-4","Validate browser version on load and warn if unsupported"
"US-3","As a HUD admin user, I want to log into SMART with my credentials, so that I can securely access system functions.","F-1","Present username and password fields with required validation"
"US-3","As a HUD admin user, I want to log into SMART with my credentials, so that I can securely access system functions.","F-2","Authenticate credentials against HUD identity provider"
"US-3","As a HUD admin user, I want to log into SMART with my credentials, so that I can securely access system functions.","F-3","Lock account after configurable failed-login threshold"
"US-3","As a HUD admin user, I want to log into SMART with my credentials, so that I can securely access system functions.","F-4","Redirect successful login to default dashboard"
"US-3","As a HUD admin user, I want to log into SMART with my credentials, so that I can securely access system functions.","F-5","Expire session after configurable inactivity period"
"US-4","As a HUD admin user, I want to open the Solution Menu, so that I can navigate across SMART modules.","F-1","Toggle collapsible sidebar via hamburger icon"
"US-4","As a HUD admin user, I want to open the Solution Menu, so that I can navigate across SMART modules.","F-2","Persist expanded/collapsed state per user"
"US-4","As a HUD admin user, I want to open the Solution Menu, so that I can navigate across SMART modules.","F-3","Highlight the currently selected menu item"
"US-4","As a HUD admin user, I want to open the Solution Menu, so that I can navigate across SMART modules.","F-4","Provide keyboard navigation for accessibility"
"US-5","As a HUD admin user, I want to navigate to My Dashboard from the Solution Menu, so that I can view my personalized overview.","F-1","Route “My Dashboard” menu click to /dashboard page"
"US-5","As a HUD admin user, I want to navigate to My Dashboard from the Solution Menu, so that I can view my personalized overview.","F-2","Display dashboard breadcrumb in header"
"US-5","As a HUD admin user, I want to navigate to My Dashboard from the Solution Menu, so that I can view my personalized overview.","F-3","Persist last-visited tab within dashboard per user"
"US-6","As a HUD admin user, I want to open the Loan Module & Mail from the Solution Menu, so that I can manage loan data.","F-1","Route “Loan” menu click to /loan page"
"US-6","As a HUD admin user, I want to open the Loan Module & Mail from the Solution Menu, so that I can manage loan data.","F-2","Show module name in page header"
"US-6","As a HUD admin user, I want to open the Loan Module & Mail from the Solution Menu, so that I can manage loan data.","F-3","Store module access in audit log"
"US-7","As a HUD admin user, I want to open the Servicing module from the Solution Menu, so that I can work with servicing activities.","F-1","Route “Servicing” menu click to /servicing page"
"US-7","As a HUD admin user, I want to open the Servicing module from the Solution Menu, so that I can work with servicing activities.","F-2","Display servicing submenu if present"
"US-7","As a HUD admin user, I want to open the Servicing module from the Solution Menu, so that I can work with servicing activities.","F-3","Record navigation event in audit log"
"US-8","As a HUD admin user, I want to open the Bankruptcy module from the Solution Menu, so that I can manage bankruptcy records.","F-1","Route “Bankruptcy” menu click to /bankruptcy page"
"US-8","As a HUD admin user, I want to open the Bankruptcy module from the Solution Menu, so that I can manage bankruptcy records.","F-2","Display bankruptcy module header"
"US-8","As a HUD admin user, I want to open the Bankruptcy module from the Solution Menu, so that I can manage bankruptcy records.","F-3","Log module access with timestamp"
"US-9","As a HUD admin user, I want to open the Foreclosure module from the Solution Menu, so that I can manage foreclosure activities.","F-1","Route “Foreclosure” menu click to /foreclosure page"
"US-9","As a HUD admin user, I want to open the Foreclosure module from the Solution Menu, so that I can manage foreclosure activities.","F-2","Show foreclosure breadcrumb path"
"US-9","As a HUD admin user, I want to open the Foreclosure module from the Solution Menu, so that I can manage foreclosure activities.","F-3","Log user navigation to module"
"US-10","As a HUD admin user, I want to open the Mortgage Release module from the Solution Menu, so that I can process mortgage releases.","F-1","Route “Mortgage Release” menu click to /mortgage-release page"
"US-10","As a HUD admin user, I want to open the Mortgage Release module from the Solution Menu, so that I can process mortgage releases.","F-2","Show module title in header"
"US-10","As a HUD admin user, I want to open the Mortgage Release module from the Solution Menu, so that I can process mortgage releases.","F-3","Write navigation event to audit trail"
"US-11","As a HUD admin user, I want to open the Cash Management module from the Solution Menu, so that I can oversee financial transactions.","F-1","Route “Cash Management” menu click to /cash-management page"
"US-11","As a HUD admin user, I want to open the Cash Management module from the Solution Menu, so that I can oversee financial transactions.","F-2","Display cash-management banner in header"
"US-11","As a HUD admin user, I want to open the Cash Management module from the Solution Menu, so that I can oversee financial transactions.","F-3","Audit module access with user ID and time"
"US-12","As a HUD admin user, I want to open the Customer Service module from the Solution Menu, so that I can manage support tickets.","F-1","Route “Customer Service” menu click to /customer-service page"
"US-12","As a HUD admin user, I want to open the Customer Service module from the Solution Menu, so that I can manage support tickets.","F-2","Show customer-service breadcrumb"
"US-12","As a HUD admin user, I want to open the Customer Service module from the Solution Menu, so that I can manage support tickets.","F-3","Record navigation in audit log"
"US-13","As a HUD admin user, I want to open the Reports section from the Solution Menu, so that I can run and export SMART reports.","F-1","Route “Reports” menu click to /reports page"
"US-13","As a HUD admin user, I want to open the Reports section from the Solution Menu, so that I can run and export SMART reports.","F-2","List available report categories on load"
"US-13","As a HUD admin user, I want to open the Reports section from the Solution Menu, so that I can run and export SMART reports.","F-3","Audit report-module access with timestamp"
"US-14","As a HUD admin user, I want to open User Information & Roles from the Solution Menu, so that I can manage user accounts.","F-1","Route “User Info & Roles” menu click to /users page"
"US-14","As a HUD admin user, I want to open User Information & Roles from the Solution Menu, so that I can manage user accounts.","F-2","Display user-management toolbar"
"US-14","As a HUD admin user, I want to open User Information & Roles from the Solution Menu, so that I can manage user accounts.","F-3","Log administrative access to user module"
"US-15","As a HUD admin user, I want to open the Maintenance section from the Solution Menu, so that I can perform system maintenance tasks.","F-1","Route “Maintenance” menu click to /maintenance page"
"US-15","As a HUD admin user, I want to open the Maintenance section from the Solution Menu, so that I can perform system maintenance tasks.","F-2","Display maintenance warning banner where applicable"
"US-15","As a HUD admin user, I want to open the Maintenance section from the Solution Menu, so that I can perform system maintenance tasks.","F-3","Log maintenance-module access to audit"
"US-16","As a HUD admin user, I want to change my SMART password, so that I can keep my account secure.","F-1","Provide “Change Password” link in user profile menu"
"US-16","As a HUD admin user, I want to change my SMART password, so that I can keep my account secure.","F-2","Require current password plus new password and confirmation"
"US-16","As a HUD admin user, I want to change my SMART password, so that I can keep my account secure.","F-3","Enforce HUD password complexity rules"
"US-16","As a HUD admin user, I want to change my SMART password, so that I can keep my account secure.","F-4","Invalidate all other sessions after successful change"
