"User Story Number","User Story Description","Feature Number","Feature Description"
"US-1","As a SMART user, I want to search transactions using multiple criteria, so that I can quickly locate specific transaction records.","F-1","Provide input fields for every search criterion listed in Table 12."
"US-1","As a SMART user, I want to search transactions using multiple criteria, so that I can quickly locate specific transaction records.","F-2","Accept multiple FHA Case numbers in a single search request."
"US-1","As a SMART user, I want to search transactions using multiple criteria, so that I can quickly locate specific transaction records.","F-3","Trigger search when user clicks START SEARCH and return matching rows."
"US-1","As a SMART user, I want to search transactions using multiple criteria, so that I can quickly locate specific transaction records.","F-4","Validate that at least one criterion is entered before executing search."
"US-2","As a SMART user, I want transaction search results to display 50 records per page, so that large result sets remain readable.","F-1","Limit initial dashboard load to maximum 50 rows."
"US-2","As a SMART user, I want transaction search results to display 50 records per page, so that large result sets remain readable.","F-2","Render pagination controls to navigate additional pages."
"US-2","As a SMART user, I want transaction search results to display 50 records per page, so that large result sets remain readable.","F-3","Preserve chosen sort order when moving between pages."
"US-3","As a SMART user, I want the FHA Case Number link on Pay.gov default‐accounting transactions to open the Pay.gov Transaction History, so that I can review related Pay.gov activity.","F-1","Detect result row classified as Pay.gov Queue/Queue Reversal/Return."
"US-3","As a SMART user, I want the FHA Case Number link on Pay.gov default‐accounting transactions to open the Pay.gov Transaction History, so that I can review related Pay.gov activity.","F-2","Redirect link click to correct Pay.gov Transaction History screen."
"US-3","As a SMART user, I want the FHA Case Number link on Pay.gov default‐accounting transactions to open the Pay.gov Transaction History, so that I can review related Pay.gov activity.","F-3","Pass selected FHA Case Number and tracking identifiers to destination page."
"US-4","As a SMART user, I want the FHA Case Number link on SMART transactions to open that loan’s Transactions tab, so that I can inspect loan-level activity.","F-1","Detect result row classified as SMART transaction."
"US-4","As a SMART user, I want the FHA Case Number link on SMART transactions to open that loan’s Transactions tab, so that I can inspect loan-level activity.","F-2","Redirect link click to Transactions tab of loan module."
"US-4","As a SMART user, I want the FHA Case Number link on SMART transactions to open that loan’s Transactions tab, so that I can inspect loan-level activity.","F-3","Auto-select the correct loan based on FHA Case Number."
"US-5","As a SMART user, I want to access the SPS module from Cash Management in the navigation menu, so that I can process checks.","F-1","Display SPS option under CASH MANAGEMENT dropdown."
"US-5","As a SMART user, I want to access the SPS module from Cash Management in the navigation menu, so that I can process checks.","F-2","Redirect to SPS landing page on selection."
"US-5","As a SMART user, I want to access the SPS module from Cash Management in the navigation menu, so that I can process checks.","F-3","Restrict menu visibility to authorized roles."
"US-6","As an SPS user, I want to view all unprocessed checks in a dedicated table, so that I know which checks still need action.","F-1","Populate Unprocessed Checks table with records flagged “pending”."
"US-6","As an SPS user, I want to view all unprocessed checks in a dedicated table, so that I know which checks still need action.","F-2","Show amount, schedule ID, and count columns exactly as in Figure 199."
"US-6","As an SPS user, I want to view all unprocessed checks in a dedicated table, so that I know which checks still need action.","F-3","Refresh list on page load and after processing events."
"US-7","As an SPS user, I want submitted checks to appear in the Checks Submitted/Status table, so that I can track Treasury acceptance.","F-1","Move check record to Checks Submitted table immediately after submission."
"US-7","As an SPS user, I want submitted checks to appear in the Checks Submitted/Status table, so that I can track Treasury acceptance.","F-2","Display status values (Pending, Accepted, Reverted) per Figure 200."
"US-7","As an SPS user, I want submitted checks to appear in the Checks Submitted/Status table, so that I can track Treasury acceptance.","F-3","Update Date Accepted/Date Reverted fields automatically from Treasury feed."
"US-8","As a SMART user, I want to open the Ticket Search screen from the Customer Service menu, so that I can locate customer service tickets.","F-1","Add TICKET SEARCH option under CUSTOMER SERVICE dropdown."
"US-8","As a SMART user, I want to open the Ticket Search screen from the Customer Service menu, so that I can locate customer service tickets.","F-2","Redirect to Ticket Search screen upon selection."
"US-8","As a SMART user, I want to open the Ticket Search screen from the Customer Service menu, so that I can locate customer service tickets.","F-3","Ensure screen loads available search fields (Figure 201)."
"US-9","As a SMART user, I want to search tickets using any combination of provided criteria, so that I can isolate relevant customer inquiries.","F-1","Accept inputs for every field listed in Table 13."
"US-9","As a SMART user, I want to search tickets using any combination of provided criteria, so that I can isolate relevant customer inquiries.","F-2","Execute query when user clicks START SEARCH."
"US-9","As a SMART user, I want to search tickets using any combination of provided criteria, so that I can isolate relevant customer inquiries.","F-3","Allow blank fields; combine only filled criteria with AND logic."
"US-10","As a SMART user, I want ticket search results paged at 50 records, so that the dashboard remains manageable.","F-1","Limit initial ticket result set to 50 rows."
"US-10","As a SMART user, I want ticket search results paged at 50 records, so that the dashboard remains manageable.","F-2","Provide pagination controls preserving filter state."
"US-10","As a SMART user, I want ticket search results paged at 50 records, so that the dashboard remains manageable.","F-3","Display selected column headers as defined in Result Headers."
"US-11","As a SMART user, I want clicking a Ticket No to open its Ticket Detail tab, so that I can review or edit the ticket.","F-1","Capture click event on Ticket No link."
"US-11","As a SMART user, I want clicking a Ticket No to open its Ticket Detail tab, so that I can review or edit the ticket.","F-2","Redirect to Customer Service module showing Ticket Detail tab."
"US-11","As a SMART user, I want clicking a Ticket No to open its Ticket Detail tab, so that I can review or edit the ticket.","F-3","Load full ticket context (loan info, notes, actions)."
"US-12","As a ticket handler, I want to edit ticket information on the Ticket Detail page, so that I can keep data current.","F-1","Enable inline editing of editable fields in Ticket Information box."
"US-12","As a ticket handler, I want to edit ticket information on the Ticket Detail page, so that I can keep data current.","F-2","Require mandatory fields before allowing SAVE."
"US-12","As a ticket handler, I want to edit ticket information on the Ticket Detail page, so that I can keep data current.","F-3","Persist changes on SAVE → SUBMIT workflow and refresh page."
"US-13","As a supervisor, I want to edit Loan Information, Ticket #, and Borrower/Caller sections, so that critical ticket metadata can be corrected.","F-1","Authorize edit controls for supervisor roles only."
"US-13","As a supervisor, I want to edit Loan Information, Ticket #, and Borrower/Caller sections, so that critical ticket metadata can be corrected.","F-2","Deny field focus for non-supervisor roles."
"US-13","As a supervisor, I want to edit Loan Information, Ticket #, and Borrower/Caller sections, so that critical ticket metadata can be corrected.","F-3","Audit-log all changes with user ID and timestamp."
"US-14","As a ticket handler, I want the Ticket Resolution list ordered newest first, so that I see the latest actions immediately.","F-1","Populate Ticket Resolution grid sorted descending by Note Create Date."
"US-14","As a ticket handler, I want the Ticket Resolution list ordered newest first, so that I see the latest actions immediately.","F-2","Exclude notes of type “Nature of Issue” from list."
"US-14","As a ticket handler, I want the Ticket Resolution list ordered newest first, so that I see the latest actions immediately.","F-3","Paginate if more than 50 entries."
"US-15","As a ticket handler, I want to copy the entire Ticket Resolution list to the clipboard, so that I can paste it elsewhere.","F-1","Provide COPY TO CLIPBOARD button."
"US-15","As a ticket handler, I want to copy the entire Ticket Resolution list to the clipboard, so that I can paste it elsewhere.","F-2","Convert table rows to plain-text string."
"US-15","As a ticket handler, I want to copy the entire Ticket Resolution list to the clipboard, so that I can paste it elsewhere.","F-3","Place text in system clipboard and confirm success."
"US-16","As a ticket handler, I want to create a new call log entry, so that phone interactions are recorded.","F-1","Offer CREATE NEW CALL LOG button on Call Log tab."
"US-16","As a ticket handler, I want to create a new call log entry, so that phone interactions are recorded.","F-2","Display form with required fields (caller, date, summary)."
"US-16","As a ticket handler, I want to create a new call log entry, so that phone interactions are recorded.","F-3","Save entry on SAVE → SUBMIT and append to call-log table."
"US-17","As a ticket handler, I want to view existing ticket actions, so that I know current and past steps.","F-1","Show Ticket Action grid with Created By, Create Date, Complete Date, Days in Action."
"US-17","As a ticket handler, I want to view existing ticket actions, so that I know current and past steps.","F-2","Highlight rows where Complete Date is blank."
"US-17","As a ticket handler, I want to view existing ticket actions, so that I know current and past steps.","F-3","Paginate after 50 rows."
"US-18","As a ticket handler, I want to add a new ticket action, so that workflow steps are tracked.","F-1","Provide CREATE NEW ACTION button."
"US-18","As a ticket handler, I want to add a new ticket action, so that workflow steps are tracked.","F-2","Populate Current Action dropdown with action list."
"US-18","As a ticket handler, I want to add a new ticket action, so that workflow steps are tracked.","F-3","Save action with optional Complete Date on SAVE → SUBMIT."
"US-19","As a ticket handler, I want to mark an open ticket action as completed, so that workflow status is up-to-date.","F-1","Render CLICK TO COMPLETE link for actions missing Complete Date."
"US-19","As a ticket handler, I want to mark an open ticket action as completed, so that workflow status is up-to-date.","F-2","Open edit form pre-filled with action details."
"US-19","As a ticket handler, I want to mark an open ticket action as completed, so that workflow status is up-to-date.","F-3","Require Complete Date before allowing SUBMIT."
"US-20","As a ticket handler, I want to view notes associated with a ticket in chronological order, so that I understand its history.","F-1","Populate Notes tab ordered oldest to newest."
"US-20","As a ticket handler, I want to view notes associated with a ticket in chronological order, so that I understand its history.","F-2","Show author, timestamp, and note text per row."
"US-20","As a ticket handler, I want to view notes associated with a ticket in chronological order, so that I understand its history.","F-3","Paginate after 50 notes."
"US-21","As a ticket handler, I want to add a new note to a ticket, so that additional information is documented.","F-1","Provide ADD NOTE button opening note entry form."
"US-21","As a ticket handler, I want to add a new note to a ticket, so that additional information is documented.","F-2","Require Note Type and Note Text fields."
"US-21","As a ticket handler, I want to add a new note to a ticket, so that additional information is documented.","F-3","Append new note to list on SAVE → SUBMIT."
"US-22","As a ticket handler, I want to view all notes for an FHA case, so that I can see history beyond the current ticket.","F-1","Provide VIEW ALL NOTES button."
"US-22","As a ticket handler, I want to view all notes for an FHA case, so that I can see history beyond the current ticket.","F-2","Retrieve notes across every ticket sharing the FHA Case Number."
"US-22","As a ticket handler, I want to view all notes for an FHA case, so that I can see history beyond the current ticket.","F-3","Offer back navigation to ticket-specific notes."
"US-23","As a ticket handler, I want to view all documents linked to an FHA case, so that I can access supporting files.","F-1","Populate Documents tab with filename, note, and timestamp."
"US-23","As a ticket handler, I want to view all documents linked to an FHA case, so that I can access supporting files.","F-2","Provide link to download each document."
"US-23","As a ticket handler, I want to view all documents linked to an FHA case, so that I can access supporting files.","F-3","Maintain chronological sort order."
"US-24","As a ticket handler, I want to see borrower history when a non-sys ticket is merged with a sys ticket, so that I can reference prior contact details.","F-1","Detect merge events and copy borrower name, address, phone to Borrower History."
"US-24","As a ticket handler, I want to see borrower history when a non-sys ticket is merged with a sys ticket, so that I can reference prior contact details.","F-2","Display Borrower History tab with captured fields."
"US-24","As a ticket handler, I want to see borrower history when a non-sys ticket is merged with a sys ticket, so that I can reference prior contact details.","F-3","Preserve multiple historical records chronologically."
"US-25","As a ticket handler, I want to close a ticket by changing its status to Closed, so that completed issues are archived.","F-1","Provide Ticket Status dropdown including “Closed”."
"US-25","As a ticket handler, I want to close a ticket by changing its status to Closed, so that completed issues are archived.","F-2","Require SAVE → SUBMIT workflow to finalize closure."
"US-25","As a ticket handler, I want to close a ticket by changing its status to Closed, so that completed issues are archived.","F-3","Mark ticket number with “(I)” after refresh."
"US-26","As a SMART user, I want to create a new ticket from the Customer Service header, so that I can log inquiries not tied to an open screen.","F-1","Add CREATE NEW TICKET option under CUSTOMER SERVICE menu."
"US-26","As a SMART user, I want to create a new ticket from the Customer Service header, so that I can log inquiries not tied to an open screen.","F-2","Display form with defaulted Priority=Low, Status=Open, Designee=current user."
"US-26","As a SMART user, I want to create a new ticket from the Customer Service header, so that I can log inquiries not tied to an open screen.","F-3","Auto-populate loan and borrower fields when FHA Case Number exists."
"US-26","As a SMART user, I want to create a new ticket from the Customer Service header, so that I can log inquiries not tied to an open screen.","F-4","Show warning if another open SMART ticket already exists."
"US-27","As a SMART user viewing a loan, I want to create a new ticket directly from the loan’s Customer Service tab, so that I can capture issues in context.","F-1","Provide CREATE NEW TICKET button within loan’s Customer Service module."
"US-27","As a SMART user viewing a loan, I want to create a new ticket directly from the loan’s Customer Service tab, so that I can capture issues in context.","F-2","Pre-fill FHA Case Number, Loan Program, and Borrower Information."
"US-27","As a SMART user viewing a loan, I want to create a new ticket directly from the loan’s Customer Service tab, so that I can capture issues in context.","F-3","Show proceed/cancel popup when an open SMART ticket already exists."
"US-27","As a SMART user viewing a loan, I want to create a new ticket directly from the loan’s Customer Service tab, so that I can capture issues in context.","F-4","Save ticket on SAVE → SUBMIT and redirect to Ticket Detail tab."
"US-28","As a ticket creator, I want new tickets to appear in the designee’s inbox with “(A)” status, so that responsible staff are alerted promptly.","F-1","Flag newly created tickets as Active “(A)”."
"US-28","As a ticket creator, I want new tickets to appear in the designee’s inbox with “(A)” status, so that responsible staff are alerted promptly.","F-2","Insert ticket into My Tickets list for the assigned designee."
"US-28","As a ticket creator, I want new tickets to appear in the designee’s inbox with “(A)” status, so that responsible staff are alerted promptly.","F-3","Update inbox in real time or on next refresh."
