"User Story Number","User Story Description","Feature Number","Feature Description","Source File","Source Text"
"US-1","As a SMART user, I want to log on, so that I can access the system.","F-1","F-1","part_001.txt","“2.3  LOGGING ON”"
"US-2","As a SMART user, I want to open the Solution Menu, so that I can navigate to system modules.","F-1","F-1","part_001.txt","“2.4 — SOLUTION MENU”"
"US-3","As a SMART user, I want to access My Dashboard, so that I immediately see my work items.","F-1","F-1","part_001.txt","“2.4.1  My Dashboard”"
"US-4","As a SMART user, I want to open the Loan Ana Mail module, so that I can manage loan correspondence.","F-1","F-1","part_001.txt","“2.4.2  LOAN ANA Mail”"
"US-5","As a SMART user, I want to open the Servicing module, so that I can view servicing information.","F-1","F-1","part_001.txt","“2.4.3  SERVICING”"
"US-6","As a SMART user, I want to open the Bankruptcy module, so that I can manage bankruptcy activities.","F-1","F-1","part_001.txt","“2.4.4  — Bankruptcy”"
"US-7","As a SMART user, I want to open the Foreclosure module, so that I can manage foreclosure activities.","F-1","F-1","part_001.txt","“2.4.5  FOLPECIOSULE”"
"US-8","As a SMART user, I want to open the Mortgage Release module, so that I can process mortgage releases.","F-1","F-1","part_001.txt","“2.4.6  Mortgage Release”"
"US-9","As a SMART user, I want to open the Cash Management module, so that I can handle cash transactions.","F-1","F-1","part_001.txt","“2.4.7  Cash Management”"
"US-10","As a SMART user, I want to open the Customer Service module, so that I can service customer tickets.","F-1","F-1","part_001.txt","“2.4.8  CUSTOMEL SELVICE”"
"US-11","As an administrator, I want to manage user information and roles, so that access is appropriately controlled.","F-1","F-1","part_001.txt","“2.4.10  User Information and Roles”"
"US-12","As a SMART user, I want to access Maintenance, so that I can perform system upkeep tasks.","F-1","F-1","part_001.txt","“2.4.11  Maintenance”"
"US-13","As a SMART user, I want to change my password, so that I can keep my account secure.","F-1","F-1","part_001.txt","“2.5  CHANGING PASSWORD”"
"US-14","As a SMART user, I want to recover a forgotten password, so that I can regain access.","F-1","F-1","part_001.txt","“2.5.1  Forgot Password (Recover Password)”"
"US-15","As a SMART user, I want to view My Loans on the dashboard, so that I can monitor key loans quickly.","F-1","F-1","part_001.txt","“3.1  My LOANS”"
"US-16","As a SMART user, I want to pin a loan to My Loans, so that it stays visible on my dashboard.","F-1","F-1","part_001.txt","“3.1.1  Pin Loan to My Loans Dashboard”"
"US-17","As a SMART user, I want to unpin a loan from My Loans, so that I can declutter my dashboard.","F-1","F-1","part_001.txt","“3.1.2  Unpin Loan from My Loans Dashboard”"
"US-18","As a SMART user, I want to view My Tickets on the dashboard, so that I can track support items.","F-1","F-1","part_001.txt","“3.2  MY TICK@tS”"
"US-19","As a SMART user, I want to pin a ticket to My Tickets, so that it remains top-of-mind.","F-1","F-1","part_001.txt","“3.2.1  Pin Ticket to My Tickets Dashboard”"
"US-20","As a SMART user, I want to unpin a ticket from My Tickets, so that I can remove it from immediate view.","F-1","F-1","part_001.txt","“3.2.2  Unpin Tickets from My Tickets Dashboard”"
"US-21","As a SMART user, I want to access the LSC Inbox, so that I can review incoming items.","F-1","F-1","part_001.txt","“3.3  LSC INBOX”"
"US-22","As a SMART user, I want to filter the LSC Inbox, so that I can quickly locate specific tickets.","F-1","F-1","part_001.txt","“3.3.1  Filter LSC INDOX”"
"US-23","As a SMART user, I want to batch-reassign tickets from the LSC Inbox, so that workload can be balanced.","F-1","F-1","part_001.txt","“3.3.2  Batch Reassign Tickets”"
"US-24","As a SMART user, I want to change ticket disposition, so that ticket status reflects current progress.","F-1","F-1","part_001.txt","“3.4.1  Change Disposition”"
"US-25","As a SMART user, I want tickets to be auto-assigned, so that they are routed efficiently.","F-1","F-1","part_001.txt","“3.4.2  AUTO-ASSIGN”"
"US-26","As a SMART user, I want to access the HUD Inbox, so that I can process HUD-related tickets.","F-1","F-1","part_001.txt","“3.5  HUD INBOX”"
"US-27","As a SMART user, I want to filter the HUD Inbox, so that I can locate relevant items fast.","F-1","F-1","part_001.txt","“3.5.1  Filter HUD INDOX”"
"US-28","As a SMART user, I want to batch-reassign tickets from the HUD Inbox, so that assignments are balanced.","F-1","F-1","part_001.txt","“3.5.2  Batch Reassign Tickets”"
"US-29","As a SMART user, I want to access the Action List, so that I can manage time-sensitive tasks.","F-1","F-1","part_001.txt","“3.6  ACTION LIST”"
"US-30","As a SMART user, I want to filter the Action List, so that I view only pertinent actions.","F-1","F-1","part_001.txt","“3.6.1  Filter Action List”"
"US-31","As a SMART user, I want to access Unassigned Tickets, so that I can pick up new work.","F-1","F-1","part_001.txt","“3.7  — Unassigned Tickets”"
"US-32","As a SMART user, I want to filter Unassigned Tickets, so that I find tickets matching my skills.","F-1","F-1","part_001.txt","“3.7.1  Filter Unassigned Tickets”"
